run_id,label,config,epoch,mean_loss,timestamp
20260403_222243,TGN+LastAgg,full_static,16,0.548695,2026-04-03T22:27:31.899864
20260403_222243,TGN+LastAgg,full_static,17,0.549842,2026-04-03T22:27:44.591567
20260403_222243,TGN+LastAgg,full_static,18,0.549997,2026-04-03T22:27:57.656530
20260403_222243,TGN+LastAgg,full_static,19,0.548595,2026-04-03T22:28:10.159241
20260403_222243,TGN+LastAgg,full_static,20,0.549639,2026-04-03T22:28:22.759336
20260408_142533,TGN+LastAgg,full,1,0.348126,2026-04-08T15:25:02.412490
20260408_142533,TGN+LastAgg,full,2,0.326999,2026-04-08T16:23:16.989630
20260408_142533,TGN+LastAgg,full,3,0.320632,2026-04-08T17:21:53.780734
20260408_175859,TGN+LastAgg,full,1,0.680679,2026-04-08T18:00:43.341656
20260408_175859,TGN+LastAgg,full,2,0.582953,2026-04-08T18:00:56.729766
20260408_175859,TGN+LastAgg,full,3,0.561050,2026-04-08T18:01:09.785125
20260408_175859,TGN+LastAgg,full,4,0.556353,2026-04-08T18:01:23.068385
20260408_175859,TGN+LastAgg,full,5,0.554294,2026-04-08T18:01:36.089926
20260408_175859,TGN+LastAgg,full,6,0.552933,2026-04-08T18:01:48.578073
20260408_175859,TGN+LastAgg,full,7,0.553181,2026-04-08T18:02:00.606561
20260408_175859,TGN+LastAgg,full,8,0.552824,2026-04-08T18:02:12.788721
20260408_180239,TGN+LastAgg,full,1,0.680953,2026-04-08T18:04:11.849952
20260408_180239,TGN+LastAgg,full,2,0.582015,2026-04-08T18:04:25.824775
20260408_180239,TGN+LastAgg,full,3,0.559656,2026-04-08T18:04:39.936147
20260408_180239,TGN+LastAgg,full,4,0.555636,2026-04-08T18:04:53.632419
20260408_180239,TGN+LastAgg,full,5,0.553686,2026-04-08T18:05:08.829682
20260408_180239,TGN+LastAgg,full,6,0.552932,2026-04-08T18:05:27.204997
20260408_180239,TGN+LastAgg,full,7,0.554071,2026-04-08T18:05:41.039704
20260408_180239,TGN+LastAgg,full,8,0.552450,2026-04-08T18:05:55.155898
20260408_180239,TGN+LastAgg,full,9,0.552380,2026-04-08T18:06:09.175129
20260408_180239,TGN+LastAgg,full,10,0.552737,2026-04-08T18:06:22.854401
20260408_214947,TGN+LastAgg,full,1,0.680267,2026-04-08T21:51:48.137149
20260408_214947,TGN+LastAgg,full,2,0.581836,2026-04-08T21:53:16.395213
20260408_214947,TGN+LastAgg,full,3,0.560609,2026-04-08T21:54:47.085836
20260408_214947,TGN+LastAgg,full,4,0.556253,2026-04-08T21:56:16.626483
20260408_214947,TGN+LastAgg,full,5,0.555336,2026-04-08T21:57:47.836765
20260408_214947,TGN+LastAgg,full,6,0.553214,2026-04-08T21:59:17.557810
20260409_025140,TGN+LastAgg,full,1,0.348565,2026-04-09T03:50:17.461090
20260409_025140,TGN+LastAgg,full,2,0.327957,2026-04-09T04:48:27.588055
20260409_025140,TGN+LastAgg,full,3,0.316538,2026-04-09T05:46:46.360289
20260409_025140,TGN+LastAgg,full,4,0.313674,2026-04-09T06:45:13.387853
20260409_025140,TGN+LastAgg,full,5,0.315480,2026-04-09T07:43:28.115237
20260409_025140,TGN+LastAgg,full,6,0.311705,2026-04-09T08:41:54.134208
20260409_025140,TGN+LastAgg,full,7,0.309198,2026-04-09T09:40:38.990375
20260409_025140,TGN+LastAgg,full,8,0.309447,2026-04-09T10:39:18.385631
20260409_025140,TGN+LastAgg,full,9,0.310010,2026-04-09T11:37:45.584840
20260409_025140,TGN+LastAgg,full,10,0.306923,2026-04-09T12:36:34.984391
20260409_025140,TGN+LastAgg,full,11,0.310403,2026-04-09T13:35:26.762130
